Component,Quantity,Unit Cost (USD),Total Cost (USD)
Pixhawk Flight Controller,1,90,90
Brushless Motor (2212),1,10,10
ESC (30A),1,10,10
Servo Motor (9g),3,10,30
LiPo Battery (3S 2200mAh),1,30,30
Flexible Solar Panels,1,20,20
CN3722 MPPT Module,1,10,10
UBEC (5V 3A),1,10,10
Radiolink AT9S Pro (Tx + Rx),1,120,120
Eclipson Airframe (3D Printed),1,60,60
iMAX Battery Charger,1,10,10
Extra Expenses (Shipping and Other Components),1,170,170
,,,
Subtotal (excluding extra expenses),,,380
Extra Expenses,,,170
Grand Total,,,550
